Titulo,Tipo,Data,Mes,Categoria
"Grátis na AWS? Cuidado, há 3 tipos",Artigo,2026-07-04,2026-07,"AWS e Cloud"
"5 atalhos do Excel que te poupam horas",Artigo,2026-07-05,2026-07,"Office e Produtividade"
"4 hábitos que te protegem online",Artigo,2026-07-05,2026-07,Segurança
"Que versão do Windows devo usar? Suporte, requisitos e qual instalar",Artigo,2026-07-12,2026-07,Windows
"Armazenamento na Nuvem: O Que É e Porque Deves Usar",Artigo,2026-07-25,2026-07,Nuvem
"OneDrive, Google Drive e Outros: Qual Escolher?",Artigo,2026-07-25,2026-07,Nuvem
"Já não precisas de decorar fórmulas do Excel. Precisas de saber pedir.",Artigo,2026-08-15,2026-08,"Office e Produtividade"
"Tens uma conta Google e provavelmente não sabes",Artigo,2026-08-28,2026-08,Nuvem
Home,Página,2026-07-04,2026-07,(Página)
Sobre,Página,2026-07-04,2026-07,(Página)
Contacto,Página,2026-07-04,2026-07,(Página)
Blog,Página,2026-07-04,2026-07,(Página)
"AWS do Zero",Página,2026-07-05,2026-07,(Página)
E-books,Página,2026-07-05,2026-07,(Página)
"Turma 1 — Excel do Zero",Página,2026-08-22,2026-08,(Página)
"Curso Excel do Zero",Página,2026-08-22,2026-08,(Página)
Cursos,Página,2026-08-22,2026-08,(Página)
